,date_pr,weekday_fa,holiday_inCal,date_gr,weekday_en,my_date
200,1396/07/15,شنبه,0,2017-10-07,Saturday,13960715
201,1396/07/16,یکشنبه,0,2017-10-08,Sunday,13960716
202,1396/07/17,دوشنبه,0,2017-10-09,Monday,13960717
203,1396/07/18,سه شنبه,0,2017-10-10,Tuesday,13960718
204,1396/07/19,چهارشنبه,0,2017-10-11,Wednesday,13960719
205,1396/07/20,پنجشنبه,0,2017-10-12,Thursday,13960720
206,1396/07/21,جمعه,0,2017-10-13,Friday,13960721
207,1396/07/22,شنبه,0,2017-10-14,Saturday,13960722
208,1396/07/23,یکشنبه,0,2017-10-15,Sunday,13960723
209,1396/07/24,دوشنبه,0,2017-10-16,Monday,13960724
210,1396/07/25,سه شنبه,0,2017-10-17,Tuesday,13960725
211,1396/07/26,چهارشنبه,0,2017-10-18,Wednesday,13960726
212,1396/07/27,پنجشنبه,0,2017-10-19,Thursday,13960727
213,1396/07/28,جمعه,0,2017-10-20,Friday,13960728
214,1396/07/29,شنبه,0,2017-10-21,Saturday,13960729
215,1396/07/30,یکشنبه,0,2017-10-22,Sunday,13960730
216,1396/08/01,دوشنبه,0,2017-10-23,Monday,13960801
217,1396/08/02,سه شنبه,0,2017-10-24,Tuesday,13960802
218,1396/08/03,چهارشنبه,0,2017-10-25,Wednesday,13960803
219,1396/08/04,پنجشنبه,0,2017-10-26,Thursday,13960804
220,1396/08/05,جمعه,0,2017-10-27,Friday,13960805
221,1396/08/06,شنبه,0,2017-10-28,Saturday,13960806
222,1396/08/07,یکشنبه,0,2017-10-29,Sunday,13960807
223,1396/08/08,دوشنبه,0,2017-10-30,Monday,13960808
224,1396/08/09,سه شنبه,0,2017-10-31,Tuesday,13960809
225,1396/08/10,چهارشنبه,0,2017-11-01,Wednesday,13960810
226,1396/08/11,پنجشنبه,0,2017-11-02,Thursday,13960811
227,1396/08/12,جمعه,0,2017-11-03,Friday,13960812
228,1396/08/13,شنبه,0,2017-11-04,Saturday,13960813
229,1396/08/14,یکشنبه,0,2017-11-05,Sunday,13960814
230,1396/08/15,دوشنبه,0,2017-11-06,Monday,13960815
231,1396/08/16,سه شنبه,0,2017-11-07,Tuesday,13960816
232,1396/08/17,چهارشنبه,0,2017-11-08,Wednesday,13960817
233,1396/08/18,پنجشنبه,1,2017-11-09,Thursday,13960818
234,1396/08/19,جمعه,0,2017-11-10,Friday,13960819
235,1396/08/20,شنبه,0,2017-11-11,Saturday,13960820
236,1396/08/21,یکشنبه,0,2017-11-12,Sunday,13960821
237,1396/08/22,دوشنبه,0,2017-11-13,Monday,13960822
238,1396/08/23,سه شنبه,0,2017-11-14,Tuesday,13960823
239,1396/08/24,چهارشنبه,0,2017-11-15,Wednesday,13960824
240,1396/08/25,پنجشنبه,0,2017-11-16,Thursday,13960825
241,1396/08/26,جمعه,1,2017-11-17,Friday,13960826
242,1396/08/27,شنبه,0,2017-11-18,Saturday,13960827
243,1396/08/28,یکشنبه,1,2017-11-19,Sunday,13960828
244,1396/08/29,دوشنبه,0,2017-11-20,Monday,13960829
245,1396/08/30,سه شنبه,0,2017-11-21,Tuesday,13960830
246,1396/09/01,چهارشنبه,0,2017-11-22,Wednesday,13960901
247,1396/09/02,پنجشنبه,0,2017-11-23,Thursday,13960902
248,1396/09/03,جمعه,0,2017-11-24,Friday,13960903
249,1396/09/04,شنبه,0,2017-11-25,Saturday,13960904
250,1396/09/05,یکشنبه,0,2017-11-26,Sunday,13960905
251,1396/09/06,دوشنبه,1,2017-11-27,Monday,13960906
252,1396/09/07,سه شنبه,0,2017-11-28,Tuesday,13960907
253,1396/09/08,چهارشنبه,0,2017-11-29,Wednesday,13960908
254,1396/09/09,پنجشنبه,0,2017-11-30,Thursday,13960909
255,1396/09/10,جمعه,0,2017-12-01,Friday,13960910
256,1396/09/11,شنبه,0,2017-12-02,Saturday,13960911
257,1396/09/12,یکشنبه,0,2017-12-03,Sunday,13960912
258,1396/09/13,دوشنبه,0,2017-12-04,Monday,13960913
259,1396/09/14,سه شنبه,0,2017-12-05,Tuesday,13960914
260,1396/09/15,چهارشنبه,1,2017-12-06,Wednesday,13960915
261,1396/09/16,پنجشنبه,0,2017-12-07,Thursday,13960916
262,1396/09/17,جمعه,0,2017-12-08,Friday,13960917
263,1396/09/18,شنبه,0,2017-12-09,Saturday,13960918
264,1396/09/19,یکشنبه,0,2017-12-10,Sunday,13960919
265,1396/09/20,دوشنبه,0,2017-12-11,Monday,13960920
266,1396/09/21,سه شنبه,0,2017-12-12,Tuesday,13960921
267,1396/09/22,چهارشنبه,0,2017-12-13,Wednesday,13960922
268,1396/09/23,پنجشنبه,0,2017-12-14,Thursday,13960923
269,1396/09/24,جمعه,0,2017-12-15,Friday,13960924
270,1396/09/25,شنبه,0,2017-12-16,Saturday,13960925
271,1396/09/26,یکشنبه,0,2017-12-17,Sunday,13960926
272,1396/09/27,دوشنبه,0,2017-12-18,Monday,13960927
273,1396/09/28,سه شنبه,0,2017-12-19,Tuesday,13960928
274,1396/09/29,چهارشنبه,0,2017-12-20,Wednesday,13960929
275,1396/09/30,پنجشنبه,0,2017-12-21,Thursday,13960930
276,1396/10/01,جمعه,0,2017-12-22,Friday,13961001
277,1396/10/02,شنبه,0,2017-12-23,Saturday,13961002
278,1396/10/03,یکشنبه,0,2017-12-24,Sunday,13961003
279,1396/10/04,دوشنبه,0,2017-12-25,Monday,13961004
280,1396/10/05,سه شنبه,0,2017-12-26,Tuesday,13961005
281,1396/10/06,چهارشنبه,0,2017-12-27,Wednesday,13961006
282,1396/10/07,پنجشنبه,0,2017-12-28,Thursday,13961007
283,1396/10/08,جمعه,0,2017-12-29,Friday,13961008
284,1396/10/09,شنبه,0,2017-12-30,Saturday,13961009
285,1396/10/10,یکشنبه,0,2017-12-31,Sunday,13961010
286,1396/10/11,دوشنبه,0,2018-01-01,Monday,13961011
287,1396/10/12,سه شنبه,0,2018-01-02,Tuesday,13961012
288,1396/10/13,چهارشنبه,0,2018-01-03,Wednesday,13961013
289,1396/10/14,پنجشنبه,0,2018-01-04,Thursday,13961014
290,1396/10/15,جمعه,0,2018-01-05,Friday,13961015
291,1396/10/16,شنبه,0,2018-01-06,Saturday,13961016
292,1396/10/17,یکشنبه,0,2018-01-07,Sunday,13961017
293,1396/10/18,دوشنبه,0,2018-01-08,Monday,13961018
294,1396/10/19,سه شنبه,0,2018-01-09,Tuesday,13961019
295,1396/10/20,چهارشنبه,0,2018-01-10,Wednesday,13961020
296,1396/10/21,پنجشنبه,0,2018-01-11,Thursday,13961021
297,1396/10/22,جمعه,0,2018-01-12,Friday,13961022
298,1396/10/23,شنبه,0,2018-01-13,Saturday,13961023
