,index,countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,e_avg
41,23,Kazakhstan,96.535,92.811,88.023,71.1,61.398,54.846,48.625,41.474,38.46,38.162,38.539,42.629,43.22,45.932,47.359,49.0438056,52.782128,56.3057904,59.56804,59.2212,64.6127,71.25868,73.48848,71.02404,73.352982,74.24626674,74.582627078864,84.62661796,87.68767056,90.081195314042,92.402213475253,63.980562488005134
42,59,United Arab Emirates,14.347,14.575,15.699,18.253,19.938,21.485,22.852,25.5,30.633,35.766,37.866,38.406,40.821,43.066,45.412,53.128,58.26,71.149,72.687,77.416,84.869,89.536,95.923,101.541,107.636,115.056,117.071,121.658163,122.835583,126.03623574335,123.64157524748,63.32459861260742
43,9,Czechia,53.037,49.708,48.148,47.773,49.312,52.155,54.146,53.163,52.196,51.178,52.292,53.775,53.669,54.807,54.91,55.974,57.631,57.89,58.586,55.337,56.173,55.747,55.984,55.137,55.099,56.398,57.642,59.122968,59.765358,60.222836260796,58.156297325776,54.681756760857155
44,34,Chile,15.811,17.272,19.613,20.648,21.957,24.481,27.242,29.653,31.252,35.06,37.141,39.933,41.359,44.878,47.544,48.907,51.37,53.635,54.153,54.533,55.29,58.492,62.947,66.065,67.836,67.647,70.83,70.350288,73.716051,74.897188178179,75.481151164083,47.09657026910523
45,16,Romania,60.216,50.881,46.736,42.688,40.949,43.108,46.147,46.739,44.029,38.996,41.3,42.299,41.516,44.459,45.438,46.521,47.499,47.324,47.894,42.665,45.972,47.25,46.861,44.952,45.808,46.798,47.142,48.860709,49.777628,49.750869241891,48.06571623158,46.08522330559584
46,35,Colombia,26.866,27.672,29.008,31.684,33.37,34.847,36.205,35.435,34.484,32.054,33.336,35.19,35.402,36.768,38.567,38.926,40.625,42.236,43.051,45.103618256411,45.873860924795,48.527075330727,49.244964348826,61.295,64.115,65.447,65.751,67.435305,68.097211,74.936677742092,72.777480685374,44.97839333187822
47,26,Uzbekistan,45.62,45.578,42.704,41.582,40.434,39.211,39.788,40.293,40.137,40.529,41.905,38.289,38.349,37.321,37.482,36.588,39.49,40.545,40.005,39.49,38.881,40.241,40.63,41.452,42.605,44.086,45.162,46.835635,55.292694,55.629875566022,57.253200753892,42.368013074835936
48,15,Portugal,23.95,25.256,26.035,26.376,27.431,29.291,30.69,32.439,34.412,36.741,38.939,40.541,42.117,43.803,45.498,47.028,48.545,49.676,49.187,48.773,50.613,49.114,47.11,46.273,46.139,46.849,47.36,47.660588,48.897005,48.176225109022,45.99130983102,40.9971331593562
49,49,New Zealand,28.871,29.316,28.781,29.93,30.519,31.145,32.004,33.04,33.201,33.93,34.697,35.376,36.195,36.369,37.867,38.408,39.257,39.553,39.194,39.28,40.69,40.342,39.88,39.496,39.862,40.422,39.781,39.662983,39.543334,39.745862657218,38.929244931581,36.29959434157415
50,51,Algeria,13.693,14.058,15.13,15.144,15.545,16.102,16.697,17.123,18.674,19.991,21.211,22.302,23.28,25.373,26.288,29.524,29.467,31.286,32.901,30.526,36.494,41.096,46.189,48.666,52.984,57.354,59.834,64.42,66.248,70.608716548683,67.478643240036,33.73185031576513
51,57,Kuwait,14.272,8.116,13.196,16.074,17.601,17.656,18.933,19.92,22.455,23.489,23.907,25.5,27.053,26.341,28.304,31.546,32.738,33.37,35.227,35.927,38.418,38.802,41.685,41.56,44.145,48.063,50.051,53.030989,54.086623,54.793151090145,54.36466355265,31.95562666589661
52,53,Nigeria,7.871,8.292,8.699,9.998,9.595,9.436,9.052,8.843,8.521,8.576,8.688,9.034,12.843,12.867,16.036,17.286,15.268,19.671,18.517,18.051,20.876,23.679,25.399,23.689,24.625,25.026,25.241,25.91227,26.543859,27.69041895834,29.478371521882,16.622707080007157
